OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,Sensitivity,Specificity,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,metaWeightFactor,screeningThreshold
0.72,0.3,0.476851851851852,0.281297782270803,0.56322473771397,0.751104565537555,0.253301320528211,211,169,622,510,2,0.3
0.68,0.4,0.609126984126984,0.573900504686373,0.638973732437385,0.770250368188513,0.477791116446579,398,156,435,523,2,0.4
0.9,0.5,0.635582010582011,0.631930527722111,0.639161755075311,0.718703976435935,0.567827130852341,473,191,360,488,2,0.5
0.62,0.3,0.607804232804233,0.480280455740578,0.685077004779607,0.949926362297496,0.328931572629052,274,34,559,645,3,0.3
0.96,0.4,0.51521164021164,0.341783772332462,0.603997839005943,0.823269513991163,0.264105642256903,220,120,613,559,3,0.4
0.81,0.5,0.388227513227513,0.0466901046132739,0.52974072191154,0.767304860088365,0.0792316926770708,66,158,767,521,3,0.5
0.01,0.3,0.524470899470899,0.364945978391357,0.611141157382369,0.832106038291605,0.273709483793517,228,114,605,565,4,0.3
0.94,0.4,0.517195767195767,0.390348024651388,0.58803611738149,0.767304860088365,0.313325330132053,261,158,572,521,4,0.4
0.85,0.5,0.520502645502645,0.338310808194245,0.614566719829878,0.851251840942563,0.250900360144058,209,101,624,578,4,0.5
